number of syllables per word, as evaluated by my rule system (previous version)


SEPARATED WORDS: 
2 housing 
1 post 
2 purchase 
3 existing 
1 dark 
1 steel 
3 regarding 
1 shout 
3 remaining 
2 visual 
2 fairly 
1 chip 
2 violent 
2 silent 
2 suppose 
1 self 
1 bike 
1 tea 
2 perceive 
4 comparison 
3 settlement 
1 layer 
2 planning 
1 far 
3 description 
2 later 
1 slow 
1 slide 
2 widely 
2 wedding 
2 inform 
2 portion 
4 territory 
3 immediate 
3 opponent 
3 abandon 
1 link 
1 mass 
1 lake 
2 transform 
2 tension 
2 display 
2 leading 
2 bother 
2 consist 
3 alcohol 
3 enable 
1 bend 
2 saving 
1 gain 
2 desert 
1 shall 
2 error 
2 release 
1 cop 
2 arab 
2 double 
1 walk 
1 sand 
2 spanish 
1 rule 
1 hit 
1 print 
2 preserve 
2 passage 
2 formal 
3 transition 
3 existence 
2 album 
5 participation 
2 arrange 
3 atmosphere 
1 joint 
2 reply 
2 cycle 
3 opposite 
1 lock 
1 whole 
2 deserve 
3 consistent 
3 resistance 
4 discovery 
1 tear 
3 exposure 
1 pose 
1 stream 
1 sale 
1 trust 
2 benefit 
1 pot 
1 grand 
1 mine 
2 hello 
3 coalition 
1 tale 
1 knife 
2 resolve 
2 racial 
1 phase 
2 present 
1 joke 
1 coat 
3 mexican 
2 symptom 
2 contact 
5 manufacturer 
4 philosophy 
3 potato 
3 interview 
3 foundation 
1 quote 
2 online 
1 pass 
4 negotiation 
1 good 
1 urge 
3 occasion 
1 dust 
1 breathe 
2 elect 
5 investigator 
2 jacket 
1 glad 
4 ordinary 
3 reduction 
2 rarely 
1 shift 
1 pack 
2 suicide 
3 numerous 
1 touch 
2 substance 
3 discipline 
3 elsewhere 
2 iron 
3 practical 
3 moreover 
2 passion 
3 volunteer 
3 implement 
4 essentially 
1 gene 
4 enforcement 
1 vs 
1 sauce 
4 independence 
3 marketing 
1 priest 
3 amazing 
2 intense 
2 advance 
2 employer 
1 shock 
2 inspire 
2 adjust 
2 retire 
1 sure 
3 visible 
1 kiss 
2 illness 
1 cap 
2 habit 
4 competitive 
1 juice 
4 congressional 
4 involvement 
